;PIK3CA;mutType
APC;0.9374815;Missense_Mutation, Silent
ATP1B3;1;Missense_Mutation
BRD2;0.9374815;Missense_Mutation
CYFIP1;0.9196711;Silent
DIMT1;0.9196711;Silent
GABPA;0.9910601;Silent
GAK;0.9196711;Missense_Mutation, Silent, Missense_Mutation
GPR61;0.9374815;Missense_Mutation
HCRTR1;0.9196711;Missense_Mutation
HIST1H2BI;0.9731846;Silent
MAX;0.9910601;Missense_Mutation
NSMCE4A;1;Missense_Mutation
POLQ;1;Missense_Mutation, Splice_Site, Silent, Missense_Mutation
PTAR1;0.9731846;Silent
RFC1;0.9910601;Silent, Silent
SAMM50;0.9196711;Nonsense_Mutation
SLC3A2;0.9374815;Missense_Mutation
TRMT10C;0.9731846;Missense_Mutation
